title_ru,title_en,rating_filmru,rating_users,rating_imdb,url
Жозефина,Josephine,10,5.5,8,https://www.film.ru/movies/zhozefina
28 лет спустя: Храм костей,28 Years Later: The Bone Temple,9,5.9,7.3,https://www.film.ru/movies/28-let-spustya-hram-kostey
"День, когда она вернулась",Geunyeoga doraon nal,9,5.8,5.6,https://www.film.ru/movies/den-kogda-ona-vernulas
Проект «Конец света»,Project Hail Mary,8,7.0,8.4,https://www.film.ru/movies/proekt-konec-sveta
Прыгуны,Hoppers,8,6.6,7.5,https://www.film.ru/movies/pryguny-0
Вот это драма!,The Drama,8,6.5,7.5,https://www.film.ru/movies/vot-eto-drama
На помощь!,Send Help,8,5.9,6.9,https://www.film.ru/movies/na-pomoshch
Плетёный муж,Wicker,7,5.5,8.2,https://www.film.ru/movies/pletyonyy-muzh
Космос засыпает,202616+,7,,7.5,https://www.film.ru/movies/kosmos-zasypaet
Лакомый кусок,The Rip,7,6.0,6.8,https://www.film.ru/movies/lakomyy-kusok
Приглашение,The Invite,7,5.1,6.6,https://www.film.ru/movies/priglashenie-6
Момент,The Moment,7,7.0,6.2,https://www.film.ru/movies/moment-1
Крик 7,Scream 7,7,6.4,5.6,https://www.film.ru/movies/krik-7-0
Подрезка кустов роз,Rosebush Pruning,7,,5.6,https://www.film.ru/movies/podrezka-kustov-roz
Тюльпаны,20266+,7,5.9,,https://www.film.ru/movies/tyulpany-1
Ограбление в Лос-Анджелесе,Crime 101,6,6.2,6.9,https://www.film.ru/movies/ograblenie-v-los-andzhelese
Отпуск на двоих,People We Meet on Vacation,6,6.9,6.6,https://www.film.ru/movies/otpusk-na-dvoih
Острые козырьки: Бессмертный человек,Peaky Blinders: The Immortal Man,6,6.0,6.6,https://www.film.ru/movies/ostrye-kozyrki-bessmertnyy-chelovek
Наследник,How to Make a Killing,6,6.6,6.5,https://www.film.ru/movies/naslednik
Команда разрушителей,The Wrecking Crew,6,6.2,6.4,https://www.film.ru/movies/komanda-razrushiteley-2
Военная машина,War Machine,6,6.5,6.3,https://www.film.ru/movies/voennaya-mashina-0
Убежище,Shelter,6,6.9,6.2,https://www.film.ru/movies/ubezhishche-5
Грозовой перевал,Wuthering Heights,6,6.5,6.2,https://www.film.ru/movies/grozovoy-pereval-8
"Два мира, одно желание",Iki Dünya Bir Dilek,6,6.9,6.1,https://www.film.ru/movies/dva-mira-odno-zhelanie
Кровавая графиня,Die Blutgräfin,6,,5.8,https://www.film.ru/movies/krovavaya-grafinya-0
Простоквашино,20266+,6,7.1,5.5,https://www.film.ru/movies/prostokvashino
Король и Шут. Навсегда,2026,6,6.9,5.3,https://www.film.ru/movies/korol-i-shut-navsegda
Чебурашка 2,20266+,6,5.4,5.3,https://www.film.ru/movies/cheburashka-2
Гренландия 2: Миграция,Greenland 2: Migration,6,6.0,5.2,https://www.film.ru/movies/grenlandiya-2-migraciya
"Человек, который смеется",202616+,6,,,https://www.film.ru/movies/chelovek-kotoryy-smeetsya-2
Тамерлан,Rise of the Conqueror,,6.4,7.4,https://www.film.ru/movies/tamerlan
Хокум,Hokum,,,7.4,https://www.film.ru/movies/hokum
Мощная баллада,Power Ballad,,,7.4,https://www.film.ru/movies/moshchnaya-ballada
Прибывший,The Incomer,,,7.3,https://www.film.ru/movies/pribyvshiy
В поисках Гарри: Искусство создания волшебства,Finding Harry: The Craft Behind the Magic,,,7.2,https://www.film.ru/movies/v-poiskah-garri-iskusstvo-sozdaniya-volshebstva
Жёлтые буквы,Yellow Letters,,,7.2,https://www.film.ru/movies/zhyoltye-bukvy
Вариации на тему,Variations on a Theme,,,7.2,https://www.film.ru/movies/variacii-na-temu-0
Evolution,Evolution,,,7.2,https://www.film.ru/movies/evolution-0
Всем нравится Билл Эванс,Everybody Digs Bill Evans,,,7.1,https://www.film.ru/movies/vsem-nravitsya-bill-evans
Последнее приключение: За кадром 5 сезона «Очень странных дел»,One Last Adventure: The Making of Stranger Things 5,,6.1,7.1,https://www.film.ru/movies/poslednee-priklyuchenie-za-kadrom-5-sezona-ochen-strannyh-del
Кае не страшно,Kaya-chan wa Kowakunai,,,7.1,https://www.film.ru/movies/kae-ne-strashno
Коты Эрмитажа 2. Тайна египетского зала,20266+,,5.8,7.1,https://www.film.ru/movies/koty-ermitazha-2-tayna-egipetskogo-zala
Доктор Глас,Doctor Glas,,,7,https://www.film.ru/movies/doktor-glas-1
Спасение,Salvation,,,7,https://www.film.ru/movies/spasenie-11
Нина Роза,Nina Roza,,,6.9,https://www.film.ru/movies/nina-roza
Внеурочная география,Extra Geography,,,6.9,https://www.film.ru/movies/vneurochnaya-geografiya
Тролли возвращаются!,Krølle Bølle,,,6.9,https://www.film.ru/movies/trolli-vozvrashchayutsya
Холостяк в Италии,Solo Mio,,,6.8,https://www.film.ru/movies/holostyak-v-italii
Дом друга здесь,The Friend's House Is Here,,,6.8,https://www.film.ru/movies/dom-druga-zdes
Левит,Leviticus,,,6.8,https://www.film.ru/movies/levit
Зачарованное Королевство,The Land of Sometimes,,5.4,6.8,https://www.film.ru/movies/zacharovannoe-korolevstvo
Вверх по волшебному дереву,The Magic Faraway Tree,,,6.8,https://www.film.ru/movies/vverh-po-volshebnomu-derevu
Хранитель камфорного дерева,Kusunoki no Bannin,,,6.7,https://www.film.ru/movies/hranitel-kamfornogo-dereva
GOAT: Мечтай по-крупному,GOAT,,7.0,6.7,https://www.film.ru/movies/goat-mechtay-po-krupnomu
Чужой. Остров проклятых,Pacífico,,5.6,6.7,https://www.film.ru/movies/chuzhoy-ostrov-proklyatyh
Легенда навсегда,Guo jia jia,,,6.6,https://www.film.ru/movies/legenda-navsegda
Джуманджи. Темный уровень,Ghost Board,,,6.6,https://www.film.ru/movies/dzhumandzhi-temnyy-uroven
Горькое Рождество,Amarga Navidad,,,6.6,https://www.film.ru/movies/gorkoe-rozhdestvo
Джефф Росс: банан в дорогу,Jeff Ross: Take a Banana for the Ride,,,6.5,https://www.film.ru/movies/dzheff-ross-banan-v-dorogu
Ханна Монтана: 20 лет,Hannah Montana 20th Anniversary Special,,,6.5,https://www.film.ru/movies/hanna-montana-20-let
Хроники осады,Chronicles from the Siege,,,6.5,https://www.film.ru/movies/hroniki-osady
